Company,Time,Financial Distress,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
1,4,-0.56657,1,1.1131,-0.015229,0.85888,0.80974,0.076037,0.091033,0.67546,-0.018807,-0.10791,-0.065316,0.89581,0.9949,0.14112,6.0862,1.6382,0.093904,2.0588,0.011601,0.094385,0.014415,0.90391,7.9828,0.12516,0.80478,-75.867,13.305,8.895,0.083774,0.054098,0.5436,7.0909,0.67133,0.93701,2.3533,219.75,-0.017,0.38335,0.014327,0.20337,0.10143,5.7379,0.72205,1.3912,-0.15013,0.64508,-0.017731,6.1114,703.04,5.7028,0.87484,13.094,0.1084,0.10135,413.74,0.565,0.34408,0.073356,3.66e-05,4.53e-05,0.0,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,22,-0.32539,33,52
3,1,-1.6599,1,0.8744,-0.034676,0.7935,0.60952,-0.0026316,-0.086847,0.50609,-0.056892,-0.16793,-0.034521,0.60458,-0.026892,0.2065,3.8427,2.4969,-0.0043176,3.0098,0.016571,0.16055,0.023966,1.0082,1.6689,0.04054,0.69143,-304.53,12.664,-7.0182,-0.090157,0.10207,0.34993,185000.0,0.57411,0.87137,3.137,144.18,-0.057356,0.49429,0.027187,-0.019303,0.36522,2.9517,-10.37,0.56541,-0.094947,-0.42057,-0.0437,3.8427,1813.5,3.3484,0.95946,12.169,0.032927,0.02471,162.21,-1.0,0.1943,0.14114,0.0,0.0,0.0,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,25,-0.30317,8,37
7,11,-1.2654,1,0.94406,-0.067489,0.9384,0.22247,0.0014593,-0.039234,0.61642,-0.30337,-1.0956,-0.041708,0.66218,0.011357,0.061602,15.233,0.7748,0.0065598,0.85659,0.0096635,0.57762,0.013777,0.33596,3.8487,0.20042,0.70141,-718.59,16.651,-5.6702,0.004957,0.23699,0.43236,2.023,1.9435,0.74745,1.0713,464.64,-0.10192,3.8471,0.043438,-0.60219,0.057802,3.6113,-1.8916,1.0657,-1.1676,-0.63689,-0.071919,16.331,655.91,11.386,0.79958,15.148,0.034007,0.044585,738.2,-1.0,0.20766,-0.024223,-0.001118,-0.0050257,0.0,-7.714,-11.824,-25.736,-21.411,46.844,30.046,12.2,26059.0,3.8523,30.5,-10.665,0.0,28.0,91.5,130.5,132.4,20.0,14.5,-16.0,9,-0.44409,19,54
11,9,-0.80159,1,0.5494,-0.093647,0.78922,0.55957,-0.058206,-0.30572,0.38638,-0.16735,-0.44428,-0.089315,0.37275,-1.0222,0.21078,3.7442,4.3245,-0.10402,6.7305,0.002528,0.10176,0.003726,1.5012,2.5844,-0.055633,0.67847,-325.07,12.694,-1.8304,0.022935,0.11074,0.26215,7.8971,0.46848,0.85968,6.3757,83.246,-0.25123,0.52538,0.0045178,-0.039178,0.21652,2.6547,-1.3361,0.97352,-0.43252,-1.4504,-0.11866,3.7442,731.67,3.2188,1.0556,12.114,-0.052919,-0.031131,420.26,-0.4005,0.087766,-0.088004,0.0,0.0,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,14,-0.31003,18,47
12,1,-0.66786,1,1.1953,0.060823,0.77593,0.57977,0.065788,0.14242,0.45965,0.10491,0.27145,0.10726,0.87179,4.1206,0.22407,3.463,2.1841,0.11347,2.2876,0.015306,0.027538,0.020985,0.66504,7.5364,0.19227,0.72937,1135.7,13.878,4.0709,0.31586,0.046568,0.33525,64.58,0.57825,0.93999,2.8321,164.82,0.069769,0.20783,0.0264,0.34433,0.076929,2.5875,0.2431,2.9126,0.79064,0.63561,0.078387,3.5199,4183.9,3.2551,0.80773,13.333,0.13118,0.11147,233.83,0.10838,0.20471,-0.03589,0.00086156,0.001486,0.15617,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4.0,36.0,85.437,27.07,26.102,16.0,16.0,0.2,12,2.0029,4,18
13,2,-0.89383,1,1.7828,0.064491,0.59011,0.39057,-0.090818,0.40384,1.175,0.16512,0.15734,-0.028633,0.91972,-4.8363,0.40989,1.4397,0.97189,-0.23253,1.3548,0.01096,0.048079,0.021244,0.42466,5.7022,-0.067339,0.51589,183.79,11.214,0.96715,0.29826,0.074224,0.60615,3.3606,1.552,0.87422,1.2693,370.41,0.07012,0.18108,0.028061,1.0633,0.068495,0.95287,1.7979,5.9843,0.94155,0.98523,0.10929,1.4397,1168.1,1.2586,1.0673,10.274,-0.20122,-0.026301,129.92,1.0,0.30771,0.11036,-0.017296,-0.044283,0.0,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,11,-0.081598,14,43
14,8,-0.66968,1,1.2327,0.064736,0.73561,0.87339,0.069993,0.16396,0.66813,0.074121,0.24485,0.1114,0.86867,3.3249,0.26439,2.7822,2.354,0.080139,2.0539,0.0066428,0.024103,0.0094263,1.0054,14.498,0.12658,0.70471,662.1,13.145,5.3267,0.039413,0.030897,0.47084,8.4448,0.5391,0.958,2.3515,152.93,0.074523,0.11686,0.0076058,-0.12913,0.060241,3.3034,0.16178,4.389,1.0746,0.62015,0.088004,2.7969,2704.1,2.6654,0.87342,13.009,0.096119,0.11055,1187.9,0.074838,0.37142,-0.10533,-0.05273,-0.060374,0.16486,0.0054619,-2.5748,-0.39328,-1.6532,57.368,23.905,11.9,9979.2,51.714,10.8,-1.7109,2.0,28.0,84.66,73.2,63.88,16.0,12.0,1.2,18,1.1394,35,43
15,6,-2.7031,1,0.98949,0.080388,0.76228,0.69112,0.1312,-0.0042914,0.45744,0.11632,0.33817,0.09152,0.40402,6.6296,0.23772,3.2067,5.532,0.18983,3.0702,0.032112,0.028634,0.078645,1.7106,1.2361,0.20764,0.40831,2248.0,15.345,-161.05,0.42918,0.35397,0.18678,12.56,0.27025,0.53564,3.8747,65.076,0.19897,1.4891,0.046463,0.12654,0.55912,2.9073,-0.10582,0.42516,0.14378,-0.018053,0.10546,3.2141,6647.6,1.7176,0.79236,14.975,0.20847,0.1435,1289.5,-0.055867,0.17837,0.24629,-0.0032942,-0.0047665,0.16963,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,18,2.5593,12,41
16,5,-3.6574,1,0.64375,0.0024426,0.91748,0.41045,0.021599,-0.23652,0.23853,0.005951,0.029602,0.0023202,0.4274,1.5378,0.082515,11.119,7.6403,0.052624,1.6068,0.035954,0.03422,0.054155,0.96036,0.72441,0.073222,0.66391,34.438,13.936,-1.7354,0.37802,0.25357,0.15836,1.3664,0.38583,0.72362,1.7337,47.119,0.0057151,3.073,0.087597,0.5166,0.5666,4.9742,-0.58232,0.14563,0.0043109,-2.8664,0.0026623,11.339,1163.4,8.0459,0.92678,13.045,0.075216,0.030054,593.52,-0.41076,0.23675,0.2693,0.0,0.0,0.0,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4.0,31.0,59.806,44.53,42.822,15.5,14.0,2.1,18,0.032712,12,33
17,9,-1.9971,1,1.1692,-0.0012156,0.89659,1.0928,0.04277,0.12619,0.58558,-0.0011123,-0.011755,-0.083702,0.87186,0.68476,0.10341,8.6702,2.8788,0.039138,2.434,0.046794,0.057156,0.062755,1.2534,10.236,0.067419,0.74567,-7.25,12.852,8.6602,0.033072,0.15092,0.43665,8.4511,0.39957,0.83167,2.61,125.05,-0.0013942,1.4594,0.042821,0.40639,0.10676,10.568,0.98983,0.96866,-0.011387,1.2203,-0.0013558,8.6872,616.77,7.2108,0.93258,12.941,0.080211,0.073676,650.76,0.97986,0.4187,-0.099049,-0.0078279,-0.0071631,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,9,-0.49922,14,24
